Tipo,Campos presentes,Número de facturas,Primera factura,Campos faltantes
Tipo 23,"FA:Docto, FA:FormaPagoPDF, FA:InfoCta, FA:InfoTit, FA:ResumenTax, FA:TipoComprobante, FA:UsoCfdi, FA:email, FA:frmPago, FA:gpoMerza, FA:impresora, FA:numeroCopiasPorImprimir, FA:status, com:Exportacion, com:condicionesDePago, com:ctaPago, com:fecha, com:folio, com:formaPago, com:frmPago, com:lugarExpedicion, com:metodoPago, com:moneda, com:noCertificado, com:serie, com:subTotal, com:tipoCambio, com:tipoDeComprobante, com:total, em:PDFcolonia, em:PDFestado, em:PDFmunicipio, em:PDFpais, em:calle, em:codigoPostal, em:colonia, em:curp, em:estado, em:localidad, em:municipio, em:noExterior, em:nombre, em:pais, em:regimenFiscal, em:regimenFiscalPDF, em:rfc, em:telefono, emp:diaFac, emp:diaPag, emp:extra03Banco, emp:extra03Clabe, emp:extra03Cuenta, emp:extra03Ref, emp:extra04Banco, emp:extra04Clabe, emp:extra04Cuenta, emp:extra04Ref, emp:extra05Banco, emp:extra05Clabe, emp:extra05Cuenta, emp:extra05Ref, emp:interesPag, emp:lisPrec, emp:mesFac, emp:mesPag, emp:nomAge1, emp:numCliente, emp:numGuia, emp:numped, emp:obs02, emp:ordComp, emp:ordEnt, emp:ordSal, emp:sumaBultos, emp:sumaKilos, emp:trans1, emp:yearFac, emp:yearPag, ex:nombre, imp:totaldeimpuestosTrasladados, re:CPLabel, re:CPPDF, re:DomicilioFiscalReceptor, re:RegimenFiscalReceptor, re:UsoCFDI, re:calle, re:codigoPostal, re:colonia, re:estado, re:estadoPDF, re:idFiscal, re:localidad, re:municipio, re:noExterior, re:noInterior, re:nombre, re:pais, re:paisPDF, re:rfc, re:telefono, tipoDocumento, tot:IEPS, tot:IEPSMx, tot:IVA, tot:cantidadConLetra, tot:ivaMx, tot:subTotal, tot:subTotalMx, tot:subtotalSinDescuentosSinIva, tot:total, tot:totalMx",74,fp200301.txt,"emp:ship05, infoG:Meses, add:qadTipoAddenda, cExt:ClaveDePedimento, com:auxCambio, cExt:TipoOperacion, add:pedido, cExt:TotalUSD, re:NumRegIDTrib, re:referencia, cExt:CertificadoOrigen, emp:ship02, emp:obs01, infoG:Anio, FA:TxtRelacion, add:almacen, com:etiqCambio, cExt_Receptor:NumRegIdTrib, FA:DescRelacionUUID, tot:txtIEPS, add:valor, cExt:Incoterm, cExt:Version, tot:auxIEPS, cExt:Subdivision, cExt:TipoCambioUSD, com:descuento, emp:ship01, re:ResidenciaFiscal, cExt_Emisor:Curp, cExt_Domicilio:CodigoPostalCP, emp:ship03, emp:ship04, infoG:Periodicidad, tot:etiqIEPS, add:negociacion"
Tipo 24,"FA:Docto, FA:FormaPagoPDF, FA:InfoCta, FA:InfoTit, FA:ResumenTax, FA:TipoComprobante, FA:UsoCfdi, FA:email, FA:frmPago, FA:gpoMerza, FA:impresora, FA:numeroCopiasPorImprimir, FA:status, com:Exportacion, com:condicionesDePago, com:ctaPago, com:fecha, com:folio, com:formaPago, com:frmPago, com:lugarExpedicion, com:metodoPago, com:moneda, com:noCertificado, com:serie, com:subTotal, com:tipoCambio, com:tipoDeComprobante, com:total, em:PDFcolonia, em:PDFestado, em:PDFmunicipio, em:PDFpais, em:calle, em:codigoPostal, em:colonia, em:curp, em:estado, em:localidad, em:municipio, em:noExterior, em:nombre, em:pais, em:regimenFiscal, em:regimenFiscalPDF, em:rfc, em:telefono, emp:diaFac, emp:diaPag, emp:extra03Banco, emp:extra03Clabe, emp:extra03Cuenta, emp:extra03Ref, emp:extra04Banco, emp:extra04Clabe, emp:extra04Cuenta, emp:extra04Ref, emp:extra05Banco, emp:extra05Clabe, emp:extra05Cuenta, emp:extra05Ref, emp:interesPag, emp:lisPrec, emp:mesFac, emp:mesPag, emp:nomAge1, emp:numCliente, emp:obs01, emp:ordComp, emp:sumaBultos, emp:sumaKilos, emp:yearFac, emp:yearPag, ex:nombre, imp:totaldeimpuestosTrasladados, re:CPLabel, re:CPPDF, re:DomicilioFiscalReceptor, re:RegimenFiscalReceptor, re:UsoCFDI, re:calle, re:codigoPostal, re:colonia, re:estado, re:estadoPDF, re:idFiscal, re:localidad, re:municipio, re:noExterior, re:noInterior, re:nombre, re:pais, re:paisPDF, re:rfc, re:telefono, tipoDocumento, tot:IEPS, tot:IEPSMx, tot:IVA, tot:cantidadConLetra, tot:ivaMx, tot:subTotal, tot:subTotalMx, tot:subtotalSinDescuentosSinIva, tot:total, tot:totalMx",34,fp200346.txt,"emp:ship05, infoG:Meses, add:qadTipoAddenda, cExt:ClaveDePedimento, com:auxCambio, cExt:TipoOperacion, emp:numped, emp:obs02, add:pedido, cExt:TotalUSD, emp:ordSal, re:NumRegIDTrib, re:referencia, cExt:CertificadoOrigen, emp:ship02, emp:numGuia, infoG:Anio, FA:TxtRelacion, add:almacen, com:etiqCambio, emp:ordEnt, cExt_Receptor:NumRegIdTrib, FA:DescRelacionUUID, tot:txtIEPS, add:valor, cExt:Incoterm, cExt:Version, tot:auxIEPS, cExt:Subdivision, cExt:TipoCambioUSD, com:descuento, emp:ship01, emp:trans1, re:ResidenciaFiscal, cExt_Emisor:Curp, cExt_Domicilio:CodigoPostalCP, emp:ship03, emp:ship04, infoG:Periodicidad, tot:etiqIEPS, add:negociacion"
Tipo 25,"FA:Docto, FA:FormaPagoPDF, FA:InfoCta, FA:InfoTit, FA:ResumenTax, FA:TipoComprobante, FA:UsoCfdi, FA:email, FA:frmPago, FA:gpoMerza, FA:impresora, FA:numeroCopiasPorImprimir, FA:status, com:Exportacion, com:condicionesDePago, com:ctaPago, com:descuento, com:fecha, com:folio, com:formaPago, com:frmPago, com:lugarExpedicion, com:metodoPago, com:moneda, com:noCertificado, com:serie, com:subTotal, com:tipoCambio, com:tipoDeComprobante, com:total, em:PDFcolonia, em:PDFestado, em:PDFmunicipio, em:PDFpais, em:calle, em:codigoPostal, em:colonia, em:curp, em:estado, em:localidad, em:municipio, em:noExterior, em:nombre, em:pais, em:regimenFiscal, em:regimenFiscalPDF, em:rfc, em:telefono, emp:diaFac, emp:diaPag, emp:extra03Banco, emp:extra03Clabe, emp:extra03Cuenta, emp:extra03Ref, emp:extra04Banco, emp:extra04Clabe, emp:extra04Cuenta, emp:extra04Ref, emp:extra05Banco, emp:extra05Clabe, emp:extra05Cuenta, emp:extra05Ref, emp:interesPag, emp:lisPrec, emp:mesFac, emp:mesPag, emp:nomAge1, emp:numCliente, emp:numGuia, emp:numped, emp:ordComp, emp:ordEnt, emp:ordSal, emp:sumaBultos, emp:sumaKilos, emp:trans1, emp:yearFac, emp:yearPag, ex:nombre, imp:totaldeimpuestosTrasladados, re:CPLabel, re:CPPDF, re:DomicilioFiscalReceptor, re:RegimenFiscalReceptor, re:UsoCFDI, re:calle, re:codigoPostal, re:colonia, re:estado, re:estadoPDF, re:idFiscal, re:localidad, re:municipio, re:noExterior, re:nombre, re:pais, re:paisPDF, re:rfc, tipoDocumento, tot:IEPS, tot:IEPSMx, tot:IVA, tot:auxIEPS, tot:cantidadConLetra, tot:etiqIEPS, tot:ivaMx, tot:subTotal, tot:subTotalMx, tot:subtotalSinDescuentosSinIva, tot:total, tot:totalMx, tot:txtIEPS",18,fp200353.txt,"emp:ship05, infoG:Meses, add:qadTipoAddenda, cExt:ClaveDePedimento, com:auxCambio, cExt:TipoOperacion, emp:obs02, add:pedido, cExt:TotalUSD, re:noInterior, re:NumRegIDTrib, re:referencia, re:telefono, cExt:CertificadoOrigen, emp:ship02, emp:obs01, infoG:Anio, FA:TxtRelacion, add:almacen, com:etiqCambio, cExt_Receptor:NumRegIdTrib, FA:DescRelacionUUID, add:valor, cExt:Incoterm, cExt:Version, cExt:Subdivision, cExt:TipoCambioUSD, emp:ship01, re:ResidenciaFiscal, cExt_Emisor:Curp, cExt_Domicilio:CodigoPostalCP, emp:ship03, emp:ship04, infoG:Periodicidad, add:negociacion"
Tipo 26,"FA:Docto, FA:FormaPagoPDF, FA:InfoCta, FA:InfoTit, FA:ResumenTax, FA:TipoComprobante, FA:UsoCfdi, FA:email, FA:frmPago, FA:gpoMerza, FA:impresora, FA:numeroCopiasPorImprimir, FA:status, com:Exportacion, com:condicionesDePago, com:ctaPago, com:descuento, com:fecha, com:folio, com:formaPago, com:frmPago, com:lugarExpedicion, com:metodoPago, com:moneda, com:noCertificado, com:serie, com:subTotal, com:tipoCambio, com:tipoDeComprobante, com:total, em:PDFcolonia, em:PDFestado, em:PDFmunicipio, em:PDFpais, em:calle, em:codigoPostal, em:colonia, em:curp, em:estado, em:localidad, em:municipio, em:noExterior, em:nombre, em:pais, em:regimenFiscal, em:regimenFiscalPDF, em:rfc, em:telefono, emp:diaFac, emp:diaPag, emp:extra03Banco, emp:extra03Clabe, emp:extra03Cuenta, emp:extra03Ref, emp:extra04Banco, emp:extra04Clabe, emp:extra04Cuenta, emp:extra04Ref, emp:extra05Banco, emp:extra05Clabe, emp:extra05Cuenta, emp:extra05Ref, emp:interesPag, emp:lisPrec, emp:mesFac, emp:mesPag, emp:nomAge1, emp:numCliente, emp:numGuia, emp:numped, emp:obs02, emp:ordComp, emp:ordEnt, emp:ordSal, emp:sumaBultos, emp:sumaKilos, emp:trans1, emp:yearFac, emp:yearPag, ex:nombre, imp:totaldeimpuestosTrasladados, re:CPLabel, re:CPPDF, re:DomicilioFiscalReceptor, re:RegimenFiscalReceptor, re:UsoCFDI, re:calle, re:codigoPostal, re:colonia, re:estado, re:estadoPDF, re:idFiscal, re:localidad, re:municipio, re:noExterior, re:nombre, re:pais, re:paisPDF, re:referencia, re:rfc, re:telefono, tipoDocumento, tot:IEPS, tot:IEPSMx, tot:IVA, tot:cantidadConLetra, tot:ivaMx, tot:subTotal, tot:subTotalMx, tot:subtotalSinDescuentosSinIva, tot:total, tot:totalMx",58,fp200384.txt,"emp:ship05, infoG:Meses, add:qadTipoAddenda, cExt:ClaveDePedimento, com:auxCambio, cExt:TipoOperacion, add:pedido, cExt:TotalUSD, re:noInterior, re:NumRegIDTrib, cExt:CertificadoOrigen, emp:ship02, emp:obs01, infoG:Anio, FA:TxtRelacion, add:almacen, com:etiqCambio, cExt_Receptor:NumRegIdTrib, FA:DescRelacionUUID, tot:txtIEPS, add:valor, cExt:Incoterm, cExt:Version, tot:auxIEPS, cExt:Subdivision, cExt:TipoCambioUSD, emp:ship01, re:ResidenciaFiscal, cExt_Emisor:Curp, cExt_Domicilio:CodigoPostalCP, emp:ship03, emp:ship04, infoG:Periodicidad, tot:etiqIEPS, add:negociacion"
Tipo 27,"FA:Docto, FA:FormaPagoPDF, FA:InfoCta, FA:InfoTit, FA:ResumenTax, FA:TipoComprobante, FA:UsoCfdi, FA:email, FA:frmPago, FA:gpoMerza, FA:impresora, FA:numeroCopiasPorImprimir, FA:status, com:Exportacion, com:condicionesDePago, com:ctaPago, com:fecha, com:folio, com:formaPago, com:frmPago, com:lugarExpedicion, com:metodoPago, com:moneda, com:noCertificado, com:serie, com:subTotal, com:tipoCambio, com:tipoDeComprobante, com:total, em:PDFcolonia, em:PDFestado, em:PDFmunicipio, em:PDFpais, em:calle, em:codigoPostal, em:colonia, em:curp, em:estado, em:localidad, em:municipio, em:noExterior, em:nombre, em:pais, em:regimenFiscal, em:regimenFiscalPDF, em:rfc, em:telefono, emp:diaFac, emp:diaPag, emp:extra03Banco, emp:extra03Clabe, emp:extra03Cuenta, emp:extra03Ref, emp:extra04Banco, emp:extra04Clabe, emp:extra04Cuenta, emp:extra05Banco, emp:extra05Clabe, emp:extra05Cuenta, emp:interesPag, emp:mesFac, emp:mesPag, emp:nomAge1, emp:numCliente, emp:obs01, emp:obs02, emp:ordComp, emp:sumaBultos, emp:sumaKilos, emp:yearFac, emp:yearPag, ex:nombre, imp:totaldeimpuestosTrasladados, re:CPLabel, re:CPPDF, re:DomicilioFiscalReceptor, re:RegimenFiscalReceptor, re:UsoCFDI, re:calle, re:codigoPostal, re:colonia, re:estado, re:estadoPDF, re:idFiscal, re:localidad, re:municipio, re:noExterior, re:nombre, re:pais, re:paisPDF, re:rfc, re:telefono, tipoDocumento, tot:IEPS, tot:IEPSMx, tot:IVA, tot:cantidadConLetra, tot:ivaMx, tot:subTotal, tot:subTotalMx, tot:subtotalSinDescuentosSinIva, tot:total, tot:totalMx",6,fp200423.txt,"emp:ship05, infoG:Meses, add:qadTipoAddenda, cExt:ClaveDePedimento, emp:extra05Ref, com:auxCambio, cExt:TipoOperacion, emp:numped, add:pedido, cExt:TotalUSD, re:noInterior, emp:lisPrec, emp:ordSal, re:NumRegIDTrib, re:referencia, cExt:CertificadoOrigen, emp:ship02, emp:numGuia, infoG:Anio, FA:TxtRelacion, add:almacen, com:etiqCambio, emp:ordEnt, cExt_Receptor:NumRegIdTrib, FA:DescRelacionUUID, tot:txtIEPS, add:valor, cExt:Incoterm, cExt:Version, tot:auxIEPS, cExt:Subdivision, cExt:TipoCambioUSD, com:descuento, emp:ship01, emp:extra04Ref, emp:trans1, re:ResidenciaFiscal, cExt_Emisor:Curp, cExt_Domicilio:CodigoPostalCP, emp:ship03, emp:ship04, infoG:Periodicidad, tot:etiqIEPS, add:negociacion"
Tipo 28,"FA:Docto, FA:FormaPagoPDF, FA:InfoCta, FA:InfoTit, FA:ResumenTax, FA:TipoComprobante, FA:UsoCfdi, FA:email, FA:frmPago, FA:gpoMerza, FA:impresora, FA:numeroCopiasPorImprimir, FA:status, cExt:CertificadoOrigen, cExt:ClaveDePedimento, cExt:Incoterm, cExt:Subdivision, cExt:TipoCambioUSD, cExt:TipoOperacion, cExt:TotalUSD, cExt:Version, cExt_Domicilio:CodigoPostalCP, cExt_Emisor:Curp, cExt_Receptor:NumRegIdTrib, com:Exportacion, com:auxCambio, com:condicionesDePago, com:ctaPago, com:etiqCambio, com:fecha, com:folio, com:formaPago, com:frmPago, com:lugarExpedicion, com:metodoPago, com:moneda, com:noCertificado, com:serie, com:subTotal, com:tipoCambio, com:tipoDeComprobante, com:total, em:PDFcolonia, em:PDFestado, em:PDFmunicipio, em:PDFpais, em:calle, em:codigoPostal, em:colonia, em:curp, em:estado, em:localidad, em:municipio, em:noExterior, em:nombre, em:pais, em:regimenFiscal, em:regimenFiscalPDF, em:rfc, em:telefono, emp:diaFac, emp:diaPag, emp:extra03Banco, emp:extra03Cuenta, emp:interesPag, emp:lisPrec, emp:mesFac, emp:mesPag, emp:nomAge1, emp:numCliente, emp:numGuia, emp:numped, emp:obs01, emp:obs02, emp:ordComp, emp:ordEnt, emp:ordSal, emp:sumaBultos, emp:sumaKilos, emp:trans1, emp:yearFac, emp:yearPag, ex:nombre, imp:totaldeimpuestosTrasladados, re:DomicilioFiscalReceptor, re:NumRegIDTrib, re:RegimenFiscalReceptor, re:ResidenciaFiscal, re:UsoCFDI, re:calle, re:codigoPostal, re:colonia, re:estado, re:idFiscal, re:localidad, re:nombre, re:pais, re:paisPDF, re:rfc, re:telefono, tipoDocumento, tot:IEPS, tot:IEPSMx, tot:IVA, tot:cantidadConLetra, tot:ivaMx, tot:subTotal, tot:subTotalMx, tot:subtotalSinDescuentosSinIva, tot:total, tot:totalMx",38,fp200439.txt,"emp:ship05, emp:extra05Clabe, infoG:Meses, add:qadTipoAddenda, emp:extra05Cuenta, emp:extra05Ref, emp:extra03Clabe, re:municipio, add:pedido, emp:extra03Ref, re:noInterior, re:referencia, re:estadoPDF, emp:ship02, infoG:Anio, FA:TxtRelacion, add:almacen, emp:extra04Banco, re:CPLabel, re:noExterior, tot:txtIEPS, add:valor, emp:extra04Clabe, FA:DescRelacionUUID, emp:extra04Cuenta, tot:auxIEPS, com:descuento, emp:ship01, emp:extra04Ref, emp:extra05Banco, emp:ship03, re:CPPDF, emp:ship04, infoG:Periodicidad, tot:etiqIEPS, add:negociacion"
Tipo 29,"FA:Docto, FA:FormaPagoPDF, FA:InfoCta, FA:InfoTit, FA:ResumenTax, FA:TipoComprobante, FA:UsoCfdi, FA:email, FA:frmPago, FA:gpoMerza, FA:impresora, FA:numeroCopiasPorImprimir, FA:status, cExt:CertificadoOrigen, cExt:ClaveDePedimento, cExt:Incoterm, cExt:Subdivision, cExt:TipoCambioUSD, cExt:TipoOperacion, cExt:TotalUSD, cExt:Version, cExt_Emisor:Curp, cExt_Receptor:NumRegIdTrib, com:Exportacion, com:auxCambio, com:condicionesDePago, com:ctaPago, com:etiqCambio, com:fecha, com:folio, com:formaPago, com:frmPago, com:lugarExpedicion, com:metodoPago, com:moneda, com:noCertificado, com:serie, com:subTotal, com:tipoCambio, com:tipoDeComprobante, com:total, em:PDFcolonia, em:PDFestado, em:PDFmunicipio, em:PDFpais, em:calle, em:codigoPostal, em:colonia, em:curp, em:estado, em:localidad, em:municipio, em:noExterior, em:nombre, em:pais, em:regimenFiscal, em:regimenFiscalPDF, em:rfc, em:telefono, emp:diaFac, emp:diaPag, emp:extra03Banco, emp:extra03Cuenta, emp:interesPag, emp:lisPrec, emp:mesFac, emp:mesPag, emp:nomAge1, emp:numCliente, emp:numGuia, emp:numped, emp:obs01, emp:obs02, emp:ordComp, emp:ordEnt, emp:ordSal, emp:sumaBultos, emp:sumaKilos, emp:trans1, emp:yearFac, emp:yearPag, ex:nombre, imp:totaldeimpuestosTrasladados, re:DomicilioFiscalReceptor, re:NumRegIDTrib, re:RegimenFiscalReceptor, re:ResidenciaFiscal, re:UsoCFDI, re:calle, re:codigoPostal, re:estado, re:idFiscal, re:localidad, re:nombre, re:pais, re:paisPDF, re:rfc, re:telefono, tipoDocumento, tot:IEPS, tot:IEPSMx, tot:IVA, tot:cantidadConLetra, tot:ivaMx, tot:subTotal, tot:subTotalMx, tot:subtotalSinDescuentosSinIva, tot:total, tot:totalMx",15,fp200440.txt,"emp:ship05, emp:extra05Clabe, infoG:Meses, add:qadTipoAddenda, emp:extra05Cuenta, emp:extra05Ref, emp:extra03Clabe, re:municipio, add:pedido, emp:extra03Ref, re:noInterior, re:referencia, re:estadoPDF, emp:ship02, infoG:Anio, FA:TxtRelacion, add:almacen, emp:extra04Banco, re:CPLabel, re:noExterior, tot:txtIEPS, add:valor, emp:extra04Clabe, FA:DescRelacionUUID, emp:extra04Cuenta, tot:auxIEPS, com:descuento, emp:ship01, emp:extra04Ref, emp:extra05Banco, cExt_Domicilio:CodigoPostalCP, re:colonia, emp:ship03, re:CPPDF, emp:ship04, infoG:Periodicidad, tot:etiqIEPS, add:negociacion"
Tipo 30,"FA:Docto, FA:FormaPagoPDF, FA:InfoCta, FA:InfoTit, FA:ResumenTax, FA:TipoComprobante, FA:UsoCfdi, FA:email, FA:frmPago, FA:gpoMerza, FA:impresora, FA:numeroCopiasPorImprimir, FA:status, com:Exportacion, com:condicionesDePago, com:ctaPago, com:descuento, com:fecha, com:folio, com:formaPago, com:frmPago, com:lugarExpedicion, com:metodoPago, com:moneda, com:noCertificado, com:serie, com:subTotal, com:tipoCambio, com:tipoDeComprobante, com:total, em:PDFcolonia, em:PDFestado, em:PDFmunicipio, em:PDFpais, em:calle, em:codigoPostal, em:colonia, em:curp, em:estado, em:localidad, em:municipio, em:noExterior, em:nombre, em:pais, em:regimenFiscal, em:regimenFiscalPDF, em:rfc, em:telefono, emp:diaFac, emp:diaPag, emp:extra03Banco, emp:extra03Clabe, emp:extra03Cuenta, emp:extra03Ref, emp:extra04Banco, emp:extra04Clabe, emp:extra04Cuenta, emp:extra05Banco, emp:extra05Clabe, emp:extra05Cuenta, emp:interesPag, emp:lisPrec, emp:mesFac, emp:mesPag, emp:nomAge1, emp:numCliente, emp:numGuia, emp:numped, emp:ordComp, emp:ordEnt, emp:ordSal, emp:sumaBultos, emp:sumaKilos, emp:trans1, emp:yearFac, emp:yearPag, ex:nombre, imp:totaldeimpuestosTrasladados, re:CPLabel, re:CPPDF, re:DomicilioFiscalReceptor, re:RegimenFiscalReceptor, re:UsoCFDI, re:calle, re:codigoPostal, re:colonia, re:estado, re:estadoPDF, re:idFiscal, re:localidad, re:municipio, re:noExterior, re:nombre, re:pais, re:paisPDF, re:rfc, re:telefono, tipoDocumento, tot:IEPS, tot:IEPSMx, tot:IVA, tot:auxIEPS, tot:cantidadConLetra, tot:etiqIEPS, tot:ivaMx, tot:subTotal, tot:subTotalMx, tot:subtotalSinDescuentosSinIva, tot:total, tot:totalMx, tot:txtIEPS",17,fp200446.txt,"emp:ship05, infoG:Meses, add:qadTipoAddenda, cExt:ClaveDePedimento, emp:extra05Ref, com:auxCambio, cExt:TipoOperacion, emp:obs02, add:pedido, cExt:TotalUSD, re:noInterior, re:NumRegIDTrib, re:referencia, cExt:CertificadoOrigen, emp:ship02, emp:obs01, infoG:Anio, FA:TxtRelacion, add:almacen, com:etiqCambio, cExt_Receptor:NumRegIdTrib, FA:DescRelacionUUID, add:valor, cExt:Incoterm, cExt:Version, cExt:Subdivision, cExt:TipoCambioUSD, emp:ship01, emp:extra04Ref, re:ResidenciaFiscal, cExt_Emisor:Curp, cExt_Domicilio:CodigoPostalCP, emp:ship03, emp:ship04, infoG:Periodicidad, add:negociacion"
Tipo 31,"FA:Docto, FA:FormaPagoPDF, FA:InfoCta, FA:InfoTit, FA:ResumenTax, FA:TipoComprobante, FA:UsoCfdi, FA:email, FA:frmPago, FA:gpoMerza, FA:impresora, FA:numeroCopiasPorImprimir, FA:status, cExt:CertificadoOrigen, cExt:ClaveDePedimento, cExt:Incoterm, cExt:Subdivision, cExt:TipoCambioUSD, cExt:TipoOperacion, cExt:TotalUSD, cExt:Version, cExt_Domicilio:CodigoPostalCP, cExt_Emisor:Curp, cExt_Receptor:NumRegIdTrib, com:Exportacion, com:auxCambio, com:condicionesDePago, com:ctaPago, com:etiqCambio, com:fecha, com:folio, com:formaPago, com:frmPago, com:lugarExpedicion, com:metodoPago, com:moneda, com:noCertificado, com:serie, com:subTotal, com:tipoCambio, com:tipoDeComprobante, com:total, em:PDFcolonia, em:PDFestado, em:PDFmunicipio, em:PDFpais, em:calle, em:codigoPostal, em:colonia, em:curp, em:estado, em:localidad, em:municipio, em:noExterior, em:nombre, em:pais, em:regimenFiscal, em:regimenFiscalPDF, em:rfc, em:telefono, emp:diaFac, emp:diaPag, emp:extra03Banco, emp:extra03Cuenta, emp:interesPag, emp:lisPrec, emp:mesFac, emp:mesPag, emp:nomAge1, emp:numCliente, emp:numGuia, emp:numped, emp:obs01, emp:obs02, emp:ordComp, emp:ordEnt, emp:ordSal, emp:sumaBultos, emp:sumaKilos, emp:trans1, emp:yearFac, emp:yearPag, ex:nombre, imp:totaldeimpuestosTrasladados, re:DomicilioFiscalReceptor, re:NumRegIDTrib, re:RegimenFiscalReceptor, re:ResidenciaFiscal, re:UsoCFDI, re:calle, re:codigoPostal, re:estado, re:idFiscal, re:localidad, re:nombre, re:pais, re:paisPDF, re:rfc, re:telefono, tipoDocumento, tot:IEPS, tot:IEPSMx, tot:IVA, tot:cantidadConLetra, tot:ivaMx, tot:subTotal, tot:subTotalMx, tot:subtotalSinDescuentosSinIva, tot:total, tot:totalMx",56,fp200464.txt,"emp:ship05, emp:extra05Clabe, infoG:Meses, add:qadTipoAddenda, emp:extra05Cuenta, emp:extra05Ref, emp:extra03Clabe, re:municipio, add:pedido, emp:extra03Ref, re:noInterior, re:referencia, re:estadoPDF, emp:ship02, infoG:Anio, FA:TxtRelacion, add:almacen, emp:extra04Banco, re:CPLabel, re:noExterior, tot:txtIEPS, add:valor, emp:extra04Clabe, FA:DescRelacionUUID, emp:extra04Cuenta, tot:auxIEPS, com:descuento, emp:ship01, emp:extra04Ref, emp:extra05Banco, re:colonia, emp:ship03, re:CPPDF, emp:ship04, infoG:Periodicidad, tot:etiqIEPS, add:negociacion"
Tipo 32,"FA:Docto, FA:FormaPagoPDF, FA:InfoCta, FA:InfoTit, FA:ResumenTax, FA:TipoComprobante, FA:UsoCfdi, FA:email, FA:frmPago, FA:gpoMerza, FA:impresora, FA:numeroCopiasPorImprimir, FA:status, com:Exportacion, com:condicionesDePago, com:ctaPago, com:descuento, com:fecha, com:folio, com:formaPago, com:frmPago, com:lugarExpedicion, com:metodoPago, com:moneda, com:noCertificado, com:serie, com:subTotal, com:tipoCambio, com:tipoDeComprobante, com:total, em:PDFcolonia, em:PDFestado, em:PDFmunicipio, em:PDFpais, em:calle, em:codigoPostal, em:colonia, em:curp, em:estado, em:localidad, em:municipio, em:noExterior, em:nombre, em:pais, em:regimenFiscal, em:regimenFiscalPDF, em:rfc, em:telefono, emp:diaFac, emp:diaPag, emp:extra03Banco, emp:extra03Clabe, emp:extra03Cuenta, emp:extra03Ref, emp:extra04Banco, emp:extra04Clabe, emp:extra04Cuenta, emp:extra04Ref, emp:extra05Banco, emp:extra05Clabe, emp:extra05Cuenta, emp:extra05Ref, emp:interesPag, emp:lisPrec, emp:mesFac, emp:mesPag, emp:nomAge1, emp:numCliente, emp:numGuia, emp:numped, emp:obs02, emp:ordComp, emp:ordEnt, emp:ordSal, emp:sumaBultos, emp:sumaKilos, emp:trans1, emp:yearFac, emp:yearPag, ex:nombre, imp:totaldeimpuestosTrasladados, re:CPLabel, re:CPPDF, re:DomicilioFiscalReceptor, re:RegimenFiscalReceptor, re:UsoCFDI, re:calle, re:codigoPostal, re:estado, re:estadoPDF, re:idFiscal, re:localidad, re:municipio, re:noExterior, re:nombre, re:pais, re:paisPDF, re:rfc, re:telefono, tipoDocumento, tot:IEPS, tot:IEPSMx, tot:IVA, tot:cantidadConLetra, tot:ivaMx, tot:subTotal, tot:subTotalMx, tot:subtotalSinDescuentosSinIva, tot:total, tot:totalMx",29,fp200524.txt,"emp:ship05, infoG:Meses, add:qadTipoAddenda, cExt:ClaveDePedimento, com:auxCambio, cExt:TipoOperacion, add:pedido, cExt:TotalUSD, re:noInterior, re:NumRegIDTrib, re:referencia, cExt:CertificadoOrigen, emp:ship02, emp:obs01, infoG:Anio, FA:TxtRelacion, add:almacen, com:etiqCambio, cExt_Receptor:NumRegIdTrib, FA:DescRelacionUUID, tot:txtIEPS, add:valor, cExt:Incoterm, cExt:Version, tot:auxIEPS, cExt:Subdivision, cExt:TipoCambioUSD, emp:ship01, re:ResidenciaFiscal, cExt_Emisor:Curp, cExt_Domicilio:CodigoPostalCP, re:colonia, emp:ship03, emp:ship04, infoG:Periodicidad, tot:etiqIEPS, add:negociacion"
